Summary,Issue Type,Status,Priority,Labels,Story point estimate,Sprint,Created,Updated,Nuvlo Started At,Nuvlo Done At,Description
Como usuario quiero consultar el estado del flujo del proyecto (Configuracion de analisis),Story,Done,High,nuvlo-demo area-frontend sprint-02 producto,1,PCC Sprint 02,2026-01-21 18:00,2026-02-02 21:00,2026-01-24 19:00,2026-02-02 21:00,Dataset controlado para Nuvlo. Area: frontend. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero filtrar metricas por Sprint y estado (Calidad y validacion),Story,Done,Low,nuvlo-demo area-oauth sprint-02 producto,2,PCC Sprint 02,2026-01-23 19:00,2026-01-30 22:00,2026-01-27 20:00,2026-01-30 22:00,Dataset controlado para Nuvlo. Area: oauth. Caso: Story. Sprint historico de dos semanas.
Preparar pruebas de metricas con datos controlados (Demo y documentacion),Task,Done,Medium,nuvlo-demo area-testing sprint-02 producto,3,PCC Sprint 02,2026-01-25 20:00,2026-02-04 23:00,2026-01-30 21:00,2026-02-04 23:00,Dataset controlado para Nuvlo. Area: testing. Caso: Task. Sprint historico de dos semanas.
Ajustar componentes visuales del dashboard (Sincronizacion Jira),Task,Done,Low,nuvlo-demo area-backend sprint-02 producto,5,PCC Sprint 02,2026-01-18 21:00,2026-01-27 00:00,2026-01-19 22:00,2026-01-27 00:00,Dataset controlado para Nuvlo. Area: backend. Caso: Task. Sprint historico de dos semanas.
Documentar decisiones tecnicas de la integracion (Configuracion de analisis),Task,Done,Medium,nuvlo-demo area-alertas sprint-02 producto,8,PCC Sprint 02,2026-01-20 17:00,2026-01-31 20:00,2026-01-22 18:00,2026-01-31 20:00,Dataset controlado para Nuvlo. Area: alertas. Caso: Task. Sprint historico de dos semanas.
Corregir lectura de story points en campos personalizados (Calidad y validacion),Bug,Done,Medium,nuvlo-demo area-documentacion sprint-02 bugfix,5,PCC Sprint 02,2026-01-22 18:00,2026-01-28 21:00,2026-01-25 19:00,2026-01-28 21:00,Dataset controlado para Nuvlo. Area: documentacion. Caso: Bug. Sprint historico de dos semanas.
Como usuario quiero consultar el estado del flujo del proyecto (Demo y documentacion),Story,Done,High,nuvlo-demo area-datos sprint-02 producto,1,PCC Sprint 02,2026-01-24 19:00,2026-02-02 22:00,2026-01-28 20:00,2026-02-02 22:00,Dataset controlado para Nuvlo. Area: datos. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero filtrar metricas por Sprint y estado (Sincronizacion Jira),Story,Done,Highest,nuvlo-demo area-ux sprint-02 producto,2,PCC Sprint 02,2026-01-17 20:00,2026-01-29 23:00,2026-01-22 21:00,2026-01-29 23:00,Dataset controlado para Nuvlo. Area: ux. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero revisar actividad reciente de sincronizacion (Panel de metricas),Story,Done,Medium,nuvlo-demo area-backend sprint-03 producto,5,PCC Sprint 03,2026-02-03 17:00,2026-02-15 20:00,2026-02-05 18:00,2026-02-15 20:00,Dataset controlado para Nuvlo. Area: backend. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero configurar criterios de analisis por proyecto (Alertas y actividad),Story,Done,High,nuvlo-demo area-alertas sprint-03 producto,8,PCC Sprint 03,2026-02-05 18:00,2026-02-12 21:00,2026-02-08 19:00,2026-02-12 21:00,Dataset controlado para Nuvlo. Area: alertas. Caso: Story. Sprint historico de dos semanas.
Revisar accesibilidad de acciones principales (Experiencia responsive),Task,Done,Low,nuvlo-demo area-documentacion sprint-03 producto,13,PCC Sprint 03,2026-02-07 19:00,2026-02-17 22:00,2026-02-11 20:00,2026-02-17 22:00,Dataset controlado para Nuvlo. Area: documentacion. Caso: Task. Sprint historico de dos semanas.
Implementar servicio de lectura paginada de Jira (Autenticacion con Atlassian),Task,Done,Medium,nuvlo-demo area-datos sprint-03 producto,1,PCC Sprint 03,2026-01-31 20:00,2026-02-13 23:00,2026-02-05 21:00,2026-02-13 23:00,Dataset controlado para Nuvlo. Area: datos. Caso: Task. Sprint historico de dos semanas.
Normalizar campos importados desde Jira Cloud (Panel de metricas),Task,Done,Low,nuvlo-demo area-ux sprint-03 producto,2,PCC Sprint 03,2026-02-02 21:00,2026-02-14 00:00,2026-02-03 22:00,2026-02-14 00:00,Dataset controlado para Nuvlo. Area: ux. Caso: Task. Sprint historico de dos semanas.
Evitar que una alerta duplicada incremente el contador (Alertas y actividad),Bug,Done,Medium,nuvlo-demo area-frontend sprint-03 bugfix,5,PCC Sprint 03,2026-02-04 17:00,2026-02-10 20:00,2026-02-06 18:00,2026-02-10 20:00,Dataset controlado para Nuvlo. Area: frontend. Caso: Bug. Sprint historico de dos semanas.
Como usuario quiero revisar actividad reciente de sincronizacion (Experiencia responsive),Story,Done,Medium,nuvlo-demo area-oauth sprint-03 producto,5,PCC Sprint 03,2026-02-06 18:00,2026-02-15 21:00,2026-02-09 19:00,2026-02-15 21:00,Dataset controlado para Nuvlo. Area: oauth. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero configurar criterios de analisis por proyecto (Autenticacion con Atlassian),Story,Done,High,nuvlo-demo area-testing sprint-03 producto,8,PCC Sprint 03,2026-02-08 19:00,2026-02-20 22:00,2026-02-12 20:00,2026-02-20 22:00,Dataset controlado para Nuvlo. Area: testing. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero alternar entre Jira real y demo controlada (Panel de metricas),Story,Done,Highest,nuvlo-demo area-backend sprint-03 producto,13,PCC Sprint 03,2026-02-01 20:00,2026-02-16 23:00,2026-02-06 21:00,2026-02-16 23:00,Dataset controlado para Nuvlo. Area: backend. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero filtrar metricas por Sprint y estado (Configuracion de analisis),Story,Done,Medium,nuvlo-demo area-ux sprint-04 producto,2,PCC Sprint 04,2026-02-18 17:00,2026-02-25 20:00,2026-02-20 18:00,2026-02-25 20:00,Dataset controlado para Nuvlo. Area: ux. Caso: Story. Sprint historico de dos semanas.
Preparar pruebas de metricas con datos controlados (Calidad y validacion),Task,Done,High,nuvlo-demo area-frontend sprint-04 producto,3,PCC Sprint 04,2026-02-20 18:00,2026-03-02 21:00,2026-02-23 19:00,2026-03-02 21:00,Dataset controlado para Nuvlo. Area: frontend. Caso: Task. Sprint historico de dos semanas.
Ajustar componentes visuales del dashboard (Demo y documentacion),Task,Done,Low,nuvlo-demo area-oauth sprint-04 producto,5,PCC Sprint 04,2026-02-22 19:00,2026-03-07 22:00,2026-02-26 20:00,2026-03-07 22:00,Dataset controlado para Nuvlo. Area: oauth. Caso: Task. Sprint historico de dos semanas.
Documentar decisiones tecnicas de la integracion (Sincronizacion Jira),Task,Done,Medium,nuvlo-demo area-testing sprint-04 producto,8,PCC Sprint 04,2026-02-15 20:00,2026-02-23 23:00,2026-02-20 21:00,2026-02-23 23:00,Dataset controlado para Nuvlo. Area: testing. Caso: Task. Sprint historico de dos semanas.
Corregir inconsistencia al mostrar WIP despues de sincronizar (Configuracion de analisis),Bug,Done,Low,nuvlo-demo area-backend sprint-04 bugfix,5,PCC Sprint 04,2026-02-17 21:00,2026-02-24 00:00,2026-02-18 22:00,2026-02-24 00:00,Dataset controlado para Nuvlo. Area: backend. Caso: Bug. Sprint historico de dos semanas.
Como usuario quiero consultar el estado del flujo del proyecto (Calidad y validacion),Story,Done,Medium,nuvlo-demo area-alertas sprint-04 producto,1,PCC Sprint 04,2026-02-19 17:00,2026-02-28 20:00,2026-02-21 18:00,2026-02-28 20:00,Dataset controlado para Nuvlo. Area: alertas. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero filtrar metricas por Sprint y estado (Demo y documentacion),Story,Done,Medium,nuvlo-demo area-documentacion sprint-04 producto,2,PCC Sprint 04,2026-02-21 18:00,2026-03-05 21:00,2026-02-24 19:00,2026-03-05 21:00,Dataset controlado para Nuvlo. Area: documentacion. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero visualizar alertas operativas (Sincronizacion Jira),Story,Done,High,nuvlo-demo area-datos sprint-04 producto bloqueada,3,PCC Sprint 04,2026-02-14 19:00,2026-02-21 22:00,2026-02-18 20:00,2026-02-21 22:00,Dataset controlado para Nuvlo. Area: datos. Caso: Story. Sprint historico de dos semanas. Incluye bloqueo simulado para explicar avisos de flujo.
Como usuario quiero revisar actividad reciente de sincronizacion (Configuracion de analisis),Story,Done,Highest,nuvlo-demo area-ux sprint-04 producto,5,PCC Sprint 04,2026-02-16 20:00,2026-02-26 23:00,2026-02-21 21:00,2026-02-26 23:00,Dataset controlado para Nuvlo. Area: ux. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero configurar criterios de analisis por proyecto (Calidad y validacion),Story,Done,Medium,nuvlo-demo area-frontend sprint-04 producto,8,PCC Sprint 04,2026-02-18 21:00,2026-02-27 00:00,2026-02-19 22:00,2026-02-27 00:00,Dataset controlado para Nuvlo. Area: frontend. Caso: Story. Sprint historico de dos semanas.
Implementar servicio de lectura paginada de Jira (Calidad y validacion),Task,Done,Medium,nuvlo-demo area-alertas sprint-05 producto,1,PCC Sprint 05,2026-03-05 17:00,2026-03-18 20:00,2026-03-08 18:00,2026-03-18 20:00,Dataset controlado para Nuvlo. Area: alertas. Caso: Task. Sprint historico de dos semanas.
Normalizar campos importados desde Jira Cloud (Demo y documentacion),Task,Done,Medium,nuvlo-demo area-documentacion sprint-05 producto,2,PCC Sprint 05,2026-03-07 18:00,2026-03-15 21:00,2026-03-11 19:00,2026-03-15 21:00,Dataset controlado para Nuvlo. Area: documentacion. Caso: Task. Sprint historico de dos semanas.
Ajustar renderizado responsive en resoluciones pequenas (Sincronizacion Jira),Bug,Done,High,nuvlo-demo area-datos sprint-05 bugfix reabierta,5,PCC Sprint 05,2026-02-28 19:00,2026-03-11 22:00,2026-03-05 20:00,2026-03-11 22:00,Dataset controlado para Nuvlo. Area: datos. Caso: Bug. Sprint historico de dos semanas. Incluye reapertura simulada documentada en etiquetas.
Como usuario quiero revisar actividad reciente de sincronizacion (Configuracion de analisis),Story,Done,Highest,nuvlo-demo area-ux sprint-05 producto,5,PCC Sprint 05,2026-03-02 20:00,2026-03-11 23:00,2026-03-03 21:00,2026-03-11 23:00,Dataset controlado para Nuvlo. Area: ux. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero configurar criterios de analisis por proyecto (Calidad y validacion),Story,Done,Medium,nuvlo-demo area-frontend sprint-05 producto,8,PCC Sprint 05,2026-03-04 21:00,2026-03-17 00:00,2026-03-06 22:00,2026-03-17 00:00,Dataset controlado para Nuvlo. Area: frontend. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero alternar entre Jira real y demo controlada (Demo y documentacion),Story,Done,High,nuvlo-demo area-oauth sprint-05 producto,13,PCC Sprint 05,2026-03-06 17:00,2026-03-13 20:00,2026-03-09 18:00,2026-03-13 20:00,Dataset controlado para Nuvlo. Area: oauth. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero consultar el estado del flujo del proyecto (Sincronizacion Jira),Story,Done,Low,nuvlo-demo area-testing sprint-05 producto,1,PCC Sprint 05,2026-03-08 18:00,2026-03-18 21:00,2026-03-12 19:00,2026-03-18 21:00,Dataset controlado para Nuvlo. Area: testing. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero filtrar metricas por Sprint y estado (Configuracion de analisis),Story,Done,Medium,nuvlo-demo area-backend sprint-05 producto,2,PCC Sprint 05,2026-03-01 19:00,2026-03-14 22:00,2026-03-06 20:00,2026-03-14 22:00,Dataset controlado para Nuvlo. Area: backend. Caso: Story. Sprint historico de dos semanas.
Ajustar componentes visuales del dashboard (Calidad y validacion),Task,Done,Medium,nuvlo-demo area-ux sprint-06 producto,5,PCC Sprint 06,2026-03-20 17:00,2026-03-25 20:00,2026-03-22 18:00,2026-03-25 20:00,Dataset controlado para Nuvlo. Area: ux. Caso: Task. Sprint historico de dos semanas.
Documentar decisiones tecnicas de la integracion (Demo y documentacion),Task,Done,High,nuvlo-demo area-frontend sprint-06 producto,8,PCC Sprint 06,2026-03-22 18:00,2026-03-30 21:00,2026-03-25 19:00,2026-03-30 21:00,Dataset controlado para Nuvlo. Area: frontend. Caso: Task. Sprint historico de dos semanas.
Revisar aviso cuando falta historial de transiciones (Sincronizacion Jira),Bug,Done,Low,nuvlo-demo area-oauth sprint-06 bugfix,5,PCC Sprint 06,2026-03-15 19:00,2026-03-26 22:00,2026-03-19 20:00,2026-03-26 22:00,Dataset controlado para Nuvlo. Area: oauth. Caso: Bug. Sprint historico de dos semanas.
Como usuario quiero consultar el estado del flujo del proyecto (Configuracion de analisis),Story,Done,Medium,nuvlo-demo area-testing sprint-06 producto,1,PCC Sprint 06,2026-03-17 20:00,2026-03-31 23:00,2026-03-22 21:00,2026-03-31 23:00,Dataset controlado para Nuvlo. Area: testing. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero filtrar metricas por Sprint y estado (Calidad y validacion),Story,Done,Low,nuvlo-demo area-backend sprint-06 producto,2,PCC Sprint 06,2026-03-19 21:00,2026-03-24 00:00,2026-03-20 22:00,2026-03-24 00:00,Dataset controlado para Nuvlo. Area: backend. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero visualizar alertas operativas (Demo y documentacion),Story,Done,Medium,nuvlo-demo area-alertas sprint-06 producto,3,PCC Sprint 06,2026-03-21 17:00,2026-03-28 20:00,2026-03-23 18:00,2026-03-28 20:00,Dataset controlado para Nuvlo. Area: alertas. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero revisar actividad reciente de sincronizacion (Sincronizacion Jira),Story,Done,Medium,nuvlo-demo area-documentacion sprint-06 producto,5,PCC Sprint 06,2026-03-14 18:00,2026-03-24 21:00,2026-03-17 19:00,2026-03-24 21:00,Dataset controlado para Nuvlo. Area: documentacion. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero configurar criterios de analisis por proyecto (Configuracion de analisis),Story,Done,High,nuvlo-demo area-datos sprint-06 producto,8,PCC Sprint 06,2026-03-16 19:00,2026-03-29 22:00,2026-03-20 20:00,2026-03-29 22:00,Dataset controlado para Nuvlo. Area: datos. Caso: Story. Sprint historico de dos semanas.
Revisar accesibilidad de acciones principales (Calidad y validacion),Task,Done,Highest,nuvlo-demo area-ux sprint-06 producto,13,PCC Sprint 06,2026-03-18 20:00,2026-03-26 23:00,2026-03-23 21:00,2026-03-26 23:00,Dataset controlado para Nuvlo. Area: ux. Caso: Task. Sprint historico de dos semanas.
Normalizar campos importados desde Jira Cloud (Experiencia responsive),Task,Done,Medium,nuvlo-demo area-backend sprint-07 producto,2,PCC Sprint 07,2026-04-04 17:00,2026-04-12 20:00,2026-04-06 18:00,2026-04-12 20:00,Dataset controlado para Nuvlo. Area: backend. Caso: Task. Sprint historico de dos semanas.
Corregir lectura de story points en campos personalizados (Autenticacion con Atlassian),Bug,Done,High,nuvlo-demo area-alertas sprint-07 bugfix,5,PCC Sprint 07,2026-03-28 18:00,2026-04-08 21:00,2026-03-31 19:00,2026-04-08 21:00,Dataset controlado para Nuvlo. Area: alertas. Caso: Bug. Sprint historico de dos semanas.
Como usuario quiero revisar actividad reciente de sincronizacion (Panel de metricas),Story,Done,Low,nuvlo-demo area-documentacion sprint-07 producto,5,PCC Sprint 07,2026-03-30 19:00,2026-04-13 22:00,2026-04-03 20:00,2026-04-13 22:00,Dataset controlado para Nuvlo. Area: documentacion. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero configurar criterios de analisis por proyecto (Alertas y actividad),Story,Done,Medium,nuvlo-demo area-datos sprint-07 producto,8,PCC Sprint 07,2026-04-01 20:00,2026-04-10 23:00,2026-04-06 21:00,2026-04-10 23:00,Dataset controlado para Nuvlo. Area: datos. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero alternar entre Jira real y demo controlada (Experiencia responsive),Story,Done,Low,nuvlo-demo area-ux sprint-07 producto,13,PCC Sprint 07,2026-04-03 21:00,2026-04-11 00:00,2026-04-04 22:00,2026-04-11 00:00,Dataset controlado para Nuvlo. Area: ux. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero consultar el estado del flujo del proyecto (Autenticacion con Atlassian),Story,Done,Medium,nuvlo-demo area-frontend sprint-07 producto,1,PCC Sprint 07,2026-04-05 17:00,2026-04-15 20:00,2026-04-07 18:00,2026-04-15 20:00,Dataset controlado para Nuvlo. Area: frontend. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero filtrar metricas por Sprint y estado (Panel de metricas),Story,Done,Medium,nuvlo-demo area-oauth sprint-07 producto,2,PCC Sprint 07,2026-03-29 18:00,2026-04-11 21:00,2026-04-01 19:00,2026-04-11 21:00,Dataset controlado para Nuvlo. Area: oauth. Caso: Story. Sprint historico de dos semanas.
Preparar pruebas de metricas con datos controlados (Alertas y actividad),Task,Done,High,nuvlo-demo area-testing sprint-07 producto,3,PCC Sprint 07,2026-03-31 19:00,2026-04-08 22:00,2026-04-04 20:00,2026-04-08 22:00,Dataset controlado para Nuvlo. Area: testing. Caso: Task. Sprint historico de dos semanas.
Ajustar componentes visuales del dashboard (Experiencia responsive),Task,Done,Highest,nuvlo-demo area-backend sprint-07 producto,5,PCC Sprint 07,2026-04-02 20:00,2026-04-13 23:00,2026-04-07 21:00,2026-04-13 23:00,Dataset controlado para Nuvlo. Area: backend. Caso: Task. Sprint historico de dos semanas.
Evitar que una alerta duplicada incremente el contador (Demo y documentacion),Bug,Done,Medium,nuvlo-demo area-ux sprint-08 bugfix,5,PCC Sprint 08,2026-04-19 17:00,2026-04-30 20:00,2026-04-21 18:00,2026-04-30 20:00,Dataset controlado para Nuvlo. Area: ux. Caso: Bug. Sprint historico de dos semanas.
Como usuario quiero consultar el estado del flujo del proyecto (Sincronizacion Jira),Story,Done,High,nuvlo-demo area-frontend sprint-08 producto,1,PCC Sprint 08,2026-04-12 18:00,2026-04-18 21:00,2026-04-15 19:00,2026-04-18 21:00,Dataset controlado para Nuvlo. Area: frontend. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero filtrar metricas por Sprint y estado (Configuracion de analisis),Story,Done,Low,nuvlo-demo area-oauth sprint-08 producto,2,PCC Sprint 08,2026-04-14 19:00,2026-04-23 22:00,2026-04-18 20:00,2026-04-23 22:00,Dataset controlado para Nuvlo. Area: oauth. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero visualizar alertas operativas (Calidad y validacion),Story,Done,Medium,nuvlo-demo area-testing sprint-08 producto,3,PCC Sprint 08,2026-04-16 20:00,2026-04-28 23:00,2026-04-21 21:00,2026-04-28 23:00,Dataset controlado para Nuvlo. Area: testing. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero revisar actividad reciente de sincronizacion (Demo y documentacion),Story,Done,Low,nuvlo-demo area-backend sprint-08 producto,5,PCC Sprint 08,2026-04-18 21:00,2026-04-29 00:00,2026-04-19 22:00,2026-04-29 00:00,Dataset controlado para Nuvlo. Area: backend. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero configurar criterios de analisis por proyecto (Sincronizacion Jira),Story,Done,Medium,nuvlo-demo area-alertas sprint-08 producto,8,PCC Sprint 08,2026-04-11 17:00,2026-04-16 20:00,2026-04-13 18:00,2026-04-16 20:00,Dataset controlado para Nuvlo. Area: alertas. Caso: Story. Sprint historico de dos semanas.
Revisar accesibilidad de acciones principales (Configuracion de analisis),Task,Done,Medium,nuvlo-demo area-documentacion sprint-08 producto,13,PCC Sprint 08,2026-04-13 18:00,2026-04-21 21:00,2026-04-16 19:00,2026-04-21 21:00,Dataset controlado para Nuvlo. Area: documentacion. Caso: Task. Sprint historico de dos semanas.
Implementar servicio de lectura paginada de Jira (Calidad y validacion),Task,Done,High,nuvlo-demo area-datos sprint-08 producto bloqueada,1,PCC Sprint 08,2026-04-15 19:00,2026-04-26 22:00,2026-04-19 20:00,2026-04-26 22:00,Dataset controlado para Nuvlo. Area: datos. Caso: Task. Sprint historico de dos semanas. Incluye bloqueo simulado para explicar avisos de flujo.
Normalizar campos importados desde Jira Cloud (Demo y documentacion),Task,Done,Highest,nuvlo-demo area-ux sprint-08 producto,2,PCC Sprint 08,2026-04-17 20:00,2026-05-01 23:00,2026-04-22 21:00,2026-05-01 23:00,Dataset controlado para Nuvlo. Area: ux. Caso: Task. Sprint historico de dos semanas.
Corregir inconsistencia al mostrar WIP despues de sincronizar (Sincronizacion Jira),Bug,Done,Medium,nuvlo-demo area-frontend sprint-08 bugfix,1,PCC Sprint 08,2026-04-19 21:00,2026-04-24 00:00,2026-04-20 22:00,2026-04-24 00:00,Dataset controlado para Nuvlo. Area: frontend. Caso: Bug. Sprint historico de dos semanas.
Como usuario quiero configurar criterios de analisis por proyecto (Sincronizacion Jira),Story,Done,Medium,nuvlo-demo area-alertas sprint-09 producto,8,PCC Sprint 09,2026-04-25 17:00,2026-05-04 20:00,2026-04-28 18:00,2026-05-04 20:00,Dataset controlado para Nuvlo. Area: alertas. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero alternar entre Jira real y demo controlada (Configuracion de analisis),Story,Done,Medium,nuvlo-demo area-documentacion sprint-09 producto,13,PCC Sprint 09,2026-04-27 18:00,2026-05-09 21:00,2026-05-01 19:00,2026-05-09 21:00,Dataset controlado para Nuvlo. Area: documentacion. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero consultar el estado del flujo del proyecto (Calidad y validacion),Story,Done,High,nuvlo-demo area-datos sprint-09 producto,1,PCC Sprint 09,2026-04-29 19:00,2026-05-14 22:00,2026-05-04 20:00,2026-05-14 22:00,Dataset controlado para Nuvlo. Area: datos. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero filtrar metricas por Sprint y estado (Demo y documentacion),Story,Done,Highest,nuvlo-demo area-ux sprint-09 producto,2,PCC Sprint 09,2026-05-01 20:00,2026-05-06 23:00,2026-05-02 21:00,2026-05-06 23:00,Dataset controlado para Nuvlo. Area: ux. Caso: Story. Sprint historico de dos semanas.
Preparar pruebas de metricas con datos controlados (Sincronizacion Jira),Task,Done,Medium,nuvlo-demo area-frontend sprint-09 producto,3,PCC Sprint 09,2026-05-03 21:00,2026-05-12 00:00,2026-05-05 22:00,2026-05-12 00:00,Dataset controlado para Nuvlo. Area: frontend. Caso: Task. Sprint historico de dos semanas.
Ajustar componentes visuales del dashboard (Configuracion de analisis),Task,Done,High,nuvlo-demo area-oauth sprint-09 producto,5,PCC Sprint 09,2026-04-26 17:00,2026-05-07 20:00,2026-04-29 18:00,2026-05-07 20:00,Dataset controlado para Nuvlo. Area: oauth. Caso: Task. Sprint historico de dos semanas.
Documentar decisiones tecnicas de la integracion (Calidad y validacion),Task,Done,Low,nuvlo-demo area-testing sprint-09 producto,8,PCC Sprint 09,2026-04-28 18:00,2026-05-12 21:00,2026-05-02 19:00,2026-05-12 21:00,Dataset controlado para Nuvlo. Area: testing. Caso: Task. Sprint historico de dos semanas.
Ajustar renderizado responsive en resoluciones pequenas (Demo y documentacion),Bug,Done,Medium,nuvlo-demo area-backend sprint-09 bugfix,1,PCC Sprint 09,2026-04-30 19:00,2026-05-09 22:00,2026-05-05 20:00,2026-05-09 22:00,Dataset controlado para Nuvlo. Area: backend. Caso: Bug. Sprint historico de dos semanas.
Como usuario quiero consultar el estado del flujo del proyecto (Sincronizacion Jira),Story,Done,Low,nuvlo-demo area-alertas sprint-09 producto,1,PCC Sprint 09,2026-05-02 20:00,2026-05-09 23:00,2026-05-03 21:00,2026-05-09 23:00,Dataset controlado para Nuvlo. Area: alertas. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero visualizar alertas operativas (Panel de metricas),Story,Done,Medium,nuvlo-demo area-frontend sprint-10 producto,3,PCC Sprint 10,2026-05-10 17:00,2026-05-22 20:00,2026-05-13 18:00,2026-05-22 20:00,Dataset controlado para Nuvlo. Area: frontend. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero revisar actividad reciente de sincronizacion (Alertas y actividad),Story,Done,Medium,nuvlo-demo area-oauth sprint-10 producto,5,PCC Sprint 10,2026-05-12 18:00,2026-05-19 21:00,2026-05-16 19:00,2026-05-19 21:00,Dataset controlado para Nuvlo. Area: oauth. Caso: Story. Sprint historico de dos semanas.
Como usuario quiero configurar criterios de analisis por proyecto (Experiencia responsive),Story,Done,High,nuvlo-demo area-testing sprint-10 producto,8,PCC Sprint 10,2026-05-14 19:00,2026-05-24 22:00,2026-05-19 20:00,2026-05-24 22:00,Dataset controlado para Nuvlo. Area: testing. Caso: Story. Sprint historico de dos semanas.
